date,Waha,HSC,Vent,Dom
4/1/2026,-4.545,-0.3975,-0.39,-0.71
5/1/2026,-4.135,-0.3525,-0.44,-0.795
6/1/2026,-3.6775,-0.3375,-0.48,-0.7975
7/1/2026,-3.495,-0.345,-0.41,-0.7925
8/1/2026,-3.47,-0.345,-0.41,-0.84
9/1/2026,-3.535,-0.355,-0.445,-1.155
10/1/2026,-3.0225,-0.4125,-0.4675,-1.3225
11/1/2026,-2.035,-0.4775,-0.2375,-1.0625
12/1/2026,-1.05,-0.435,0.4775,-0.78
1/1/2027,-0.865,-0.27,1.4,-0.735
2/1/2027,-0.825,-0.2375,1.4975,-0.605
3/1/2027,-1.105,-0.44,-0.235,-0.5775
4/1/2027,-1.395,-0.405,-0.2975,-0.5925
5/1/2027,-1.36,-0.355,-0.395,-0.7575
6/1/2027,-1.2225,-0.3525,-0.4475,-0.8175
7/1/2027,-0.86,-0.3175,-0.3625,-0.7975
8/1/2027,-0.905,-0.3075,-0.3825,-0.885
9/1/2027,-1.105,-0.3375,-0.3775,-1.22
10/1/2027,-1.15,-0.4425,-0.3925,-1.28
11/1/2027,-1.2475,-0.4375,-0.245,-1.065
12/1/2027,-1.0925,-0.3375,0.4275,-0.7525
1/1/2028,-0.925,-0.2,1.405,-0.6975
2/1/2028,-0.9275,-0.15,1.4575,-0.595
3/1/2028,-1.4525,-0.32,-0.235,-0.5325
4/1/2028,-1.53,-0.2875,-0.275,-0.6175
5/1/2028,-1.4575,-0.255,-0.38,-0.7675
6/1/2028,-1.3325,-0.2775,-0.4325,-0.79
7/1/2028,-0.895,-0.215,-0.3225,-0.8575
8/1/2028,-0.7825,-0.23,-0.3175,-0.9325
9/1/2028,-0.9425,-0.2475,-0.3825,-1.21
10/1/2028,-1.0125,-0.2975,-0.375,-1.265
11/1/2028,-0.7475,-0.305,-0.3025,-1.0425
12/1/2028,-0.605,-0.255,0.38,-0.79
